aa|Afar|Qafar af
ab|Abkhazian|Аԥсуа бызшәа
af|Afrikaans|Afrikaans
am|Amharic|አማርኛ
ar|Arabic|اَلْعَرَبِيَّةُ
as|Assamese|অসমীয়া
ay|Aymara|Jaqi
az|Azerbaijani|آذربایجان دیلی‎
ba|Bashkir|Башҡортса
be|Byelorussian|беларуская мова
bg|Bulgarian|български
bh|Bihari|Bihari
bi|Bislama|Bichelamar
bn|Bengali|বাংলা
bo|Tibetan|བོད་སྐད་
br|Breton|brezhoneg
ca|Catalan|català
co|Corsican|
cs|Czech|čeština
cy|Welch|
da|Danish|dansk
de|German|Deutsch
dz|Bhutani|
el|Greek|ελληνικά
en|English|English
eo|Esperanto|esperanto
es|Spanish|español
et|Estonian|
eu|Basque|
fa|Persian|فارسی 
fi|Finnish|suomen kieli
fj|Fiji|
fo|Faeroese|
fr|French|français
fy|Frisian|
ga|Irish|Gaelic
gd|Scots Gaelic|
gl|Galician|
gn|Guarani|
gu|Gujarati|
ha|Hausa|
hi|Hindi|हिन्दी
he|Hebrew|עִבְרִית‎
hr|Croatian|hrvatski
hu|Hungarian|magyar nyelv
hy|Armenian|
ia|Interlingua|
id|Indonesian|bahasa Indonesia
ie|Interlingue|
ik|Inupiak|
in|former Indonesian|
is|Icelandic|
it|Italian|italiano
iu|Inuktitut (Eskimo)|
iw|former Hebrew|
ja|Japanese|日本語
ji|former Yiddish|
jw|Javanese|ꦧꦱꦗꦮ
ka|Georgian|
kk|Kazakh|
kl|Greenlandic|
km|Cambodian|
kn|Kannada|
ko|Korean|한국어
ks|Kashmiri|
ku|Kurdish|
ky|Kirghiz|
la|Latin|lingua latīna
ln|Lingala|
lo|Laothian|
lt|Lithuanian|
lv|Latvian, Lettish|
mg|Malagasy|
mi|Maori|
mk|Macedonian|македонски
ml|Malayalam|
mn|Mongolian|
mo|Moldavian|
mr|Marathi|
ms|Malay|
mt|Maltese|
my|Burmese|
na|Nauru|
ne|Nepali|
nl|Dutch|Nederlands
no|Norwegian|norsk
oc|Occitan|
om|(Afan) Oromo|
or|Oriya|
pa|Punjabi|
pl|Polish|polski
ps|Pashto, Pushto|
pt|Portuguese|português
qu|Quechua|
rm|Rhaeto-Romance|
rn|Kirundi|
ro|Romanian|limba română
ru|Russian|русский язык
rw|Kinyarwanda|
sa|Sanskrit|
sd|Sindhi|
sg|Sangro|
sh|Serbo-Croatian|
si|Singhalese|
sk|Slovak|slovenčina
sl|Slovenian|
sm|Samoan|
sn|Shona|
so|Somali|
sq|Albanian|
sr|Serbian|
ss|Siswati|
st|Sesotho|
su|Sudanese|
sv|Swedish|svenska
sw|Swahili|
ta|Tamil|
te|Tegulu|
tg|Tajik|
th|Thai|ภาษาไทย
ti|Tigrinya|
tk|Turkmen|
tl|Tagalog|
tn|Setswana|
to|Tonga|
tr|Turkish|Türkçe
ts|Tsonga|
tt|Tatar|
tw|Twi|
ug|Uigur|
uk|Ukrainian|українська мова
ur|Urdu|
uz|Uzbek|
vi|Vietnamese|Tiếng Việt
vo|Volapuk|
wo|Wolof|
xh|Xhosa|
yi|Yiddish|
yo|Yoruba|
za|Zhuang|
zh|Chinese|中文
zu|Zulu|